target	class
AARS	Translation
ARHGAP22	Metabolic
ASCC3	Translation
ATP5B	Metabolic
BHLHE40	Transcription
CAD	Metabolic
CARS	Translation
CCND3	ERAD
CHERP	Transcription
COPB1	ER_Golgi_Transport
COPZ1	ER_Golgi_Transport
CREB1	Transcription
DAD1	ER_Other
DARS	Translation
DDIT3	UPR
DDOST	ER_Other
DDRGK1	ER_Other
DERL2	ERAD
DHDDS	ER_Other
DNAJC19	Chaperone
EIF2B2	Translation
EIF2B3	Translation
EIF2B4	Translation
EIF2S1	Translation
FARSB	Translation
FECH	Metabolic
GBF1	ER_Golgi_Transport
GMPPB	Metabolic
GNPNAT1	ER_Other
HARS	Translation
HSD17B12	Metabolic
HSPA5	UPR
HSPA9	UPR
HYOU1	UPR
IARS2	Translation
IDH3A	Metabolic
IER3IP1	UPR
MANF	UPR
MARS	Translation
MRGBP	Transcription
MRPL39	Chaperone
MTHFD1	Metabolic
NEDD8	ERAD
OST4	ER_Other
P4HB	Chaperone
PDIA6	Chaperone
PPWD1	ER_Golgi_Transport
PSMD4	ERAD
PTDSS1	ER_Other
QARS	Translation
SAMM50	ER_Other
SARS	Translation
SCYL1	ER_Golgi_Transport
SEC61A1	ER_Transport
SEC61B	ER_Transport
SEC61G	ER_Transport
SEC63	ER_Transport
SEL1L	ERAD
SLC35B1	ER_Other
SLC39A7	ER_Other
SOCS1	Transcription
SPCS2	ER_Transport
SPCS3	ER_Transport
SRP68	ER_Transport
SRP72	ER_Transport
SRPRB	ER_Transport
STT3A	ER_Transport
SYVN1	ERAD
TARS	Translation
TELO2	ERAD
TIMM44	ER_Other
TMED10	ER_Transport
TMED2	ER_Transport
TMEM167A	ER_Transport
TTI1	ERAD
TTI2	ER_Transport
UFL1	Metabolism
UFM1	ERAD
XRN1	Metabolism
YIPF5	ER_Golgi_Transport
ZNF326	Transcription
ctrl	Other
