gene,original_class,new_class,method
AAMP,Other,Translation,expression
AARS,Other,Transport,expression
AATF,Other,Translation,expression
ABCB7,Other,Metabolism,GO
ACTB,Other,Transcription,GO
ACTL6A,Other,Transcription,GO
ALDOA,Other,Metabolism,GO
ALG13,Other,Metabolism,GO
ALG2,Other,Metabolism,GO
ARL2,Other,Chromatin,expression
ATF4,Other,Transcription,GO
ATP1A1,Other,Development,expression
ATP6AP1,Other,Transport,expression
ATP6V0B,Other,Transport,expression
ATP6V0C,Other,Transport,expression
ATP6V1A,Other,Transport,expression
ATR,Other,Chromatin,expression
BDP1,Other,Translation,expression
BGLAP,Other,Chromatin,expression
BNIP1,Other,Transport,expression
BRD8,Other,Transcription,GO
BRIX1,Other,Development,expression
BYSL,Other,Translation,GO
C12orf45,Other,Translation,expression
C14orf178,Other,Transcription,expression
C1QBP,Other,Translation,GO
C7orf26,Other,Signal_Transduction,expression
CACTIN,Other,Transcription,expression
CAPZB,Other,Protein_Folding,expression
CCDC174,Other,Transport,expression
CCDC59,Other,Translation,expression
CCDC84,Other,Protein_Folding,expression
CCT3,Other,Protein_Folding,expression
CCT4,Other,Protein_Folding,expression
CCT5,Other,Protein_Folding,expression
CCT7,Other,Protein_Folding,expression
CD3EAP,Other,Translation,expression
CDC73,Other,Transcription,GO
CDK1,Other,Cell_Cycle,expression
CEBPZ,Other,Translation,expression
CENPC,Other,Chromatin,expression
CENPE,Other,Chromatin,expression
CENPJ,Other,Translation,expression
CENPK,Other,Transcription,expression
CEP192,Other,Chromatin,expression
CHCHD4,Other,Transport,expression
CHEK1,Other,Chromatin,expression
CHERP,Other,Transport,expression
CHMP1A,Other,Metabolism,GO
CHMP2A,Other,Metabolism,GO
CHMP3,Other,Metabolism,GO
CHMP6,Other,Metabolism,GO
CIAPIN1,Other,Transport,expression
CKAP5,Other,Chromatin,expression
CLNS1A,Other,Transcription,expression
CLTC,Other,Metabolism,GO
CNOT3,Other,Transport,expression
COPS2,Other,Transcription,GO
COPS3,Other,Chromatin,expression
COPS4,Other,Chromatin,expression
COPS5,Other,Translation,GO
COPS6,Other,Protein_Folding,expression
COX11,Other,Transport,expression
COX15,Other,Metabolism,GO
COX17,Other,Transport,expression
COX7C,Other,Transport,expression
CPSF4,Other,Transcription,expression
CSE1L,Other,Chromatin,expression
CSNK1A1,Other,Metabolism,GO
CSNK2B,Other,Transport,expression
