gene,old_class,new_class,correlation
AAMP,Other,Translation,0.60812575
AARS,Other,Transport,0.6534162
AATF,Other,Translation,0.6929803
ABCB7,Other,Transport,0.55470705
ACTL6A,Other,DNA_Repair,0.3462899
ALDOA,Other,Cell_Cycle,0.5823382
ALG2,Other,Protein_Folding,0.34313866
ARL2,Other,Chromatin,0.43089035
ATP1A1,Other,Development,0.34857523
ATP6AP1,Other,Transport,0.59389216
ATP6V0B,Other,Transport,0.48225766
ATP6V0C,Other,Transport,0.5445818
ATP6V1A,Other,Transport,0.45034662
ATR,Other,Chromatin,0.43802598
BDP1,Other,Translation,0.7407916
BGLAP,Other,Chromatin,0.7321609
BNIP1,Other,Transport,0.64033484
BRD8,Other,Signal_Transduction,0.36816895
BRIX1,Other,Development,0.69039106
BYSL,Other,Translation,0.5597868
C12orf45,Other,Translation,0.52975696
C14orf178,Other,Transcription,0.70879555
C1QBP,Other,Development,0.5301343
C7orf26,Other,Signal_Transduction,0.4186246
CACTIN,Other,Transcription,0.5465864
CAPZB,Other,Protein_Folding,0.341966
CCDC174,Other,Transport,0.5348939
CCDC59,Other,Translation,0.37126163
CCDC84,Other,Protein_Folding,0.4827657
CCT3,Other,Protein_Folding,0.6632894
CCT4,Other,Protein_Folding,0.6864664
CCT5,Other,Protein_Folding,0.5577496
CCT7,Other,Protein_Folding,0.6778816
CD3EAP,Other,Translation,0.52393353
CDC73,Other,Chromatin,0.537662
CDK1,Other,Cell_Cycle,0.8162805
CEBPZ,Other,Translation,0.7228893
CENPC,Other,Chromatin,0.67459494
CENPE,Other,Chromatin,0.4936298
CENPJ,Other,Translation,0.749588
CENPK,Other,Transcription,0.6266439
CEP192,Other,Chromatin,0.5701771
CHCHD4,Other,Transport,0.47273296
CHEK1,Other,Chromatin,0.41920596
CHERP,Other,Transport,0.3979751
CHMP1A,Other,Protein_Degradation,0.6250434
CHMP2A,Other,Protein_Degradation,0.54769397
CHMP3,Other,Protein_Degradation,0.6905334
CHMP6,Other,Protein_Degradation,0.68657005
CIAPIN1,Other,Transport,0.48125058
CKAP5,Other,Chromatin,0.5750206
CLNS1A,Other,Transcription,0.46050254
CLTC,Other,Transport,0.59376645
CNOT3,Other,Transport,0.4779141
COPS2,Other,Chromatin,0.30078658
COPS3,Other,Chromatin,0.40662152
COPS4,Other,Chromatin,0.4335943
COPS6,Other,Protein_Folding,0.38558775
COX11,Other,Transport,0.3080504
COX15,Other,Transport,0.518684
COX17,Other,Transport,0.3772462
COX7C,Other,Transport,0.5336297
CPSF4,Other,Transcription,0.42198697
CSE1L,Other,Chromatin,0.48160616
CSNK1A1,Other,Transport,0.45256406
CSNK2B,Other,Transport,0.33943948
CUL7,Other,Transcription,0.37283534
CWF19L2,Other,Transcription,0.55607796
DAP3,Other,Transport,0.43739188
DARS,Other,Transport,0.60192597
DCUN1D5,Other,Transcription,0.5120144
DDB1,Other,Chromatin,0.45689777
DDX20,Other,Transcription,0.43977612
DDX24,Other,Translation,0.8535199
DDX6,Other,Transcription,0.5664698
DERL2,Other,Chromatin,0.56710273
DHDDS,Other,Protein_Folding,0.5741023
DHX33,Other,Transcription,0.41821343
DLD,Other,Chromatin,0.4811905
DNAJA3,Other,Transport,0.530356
DNAJC19,Other,Protein_Folding,0.71802604
DNM1L,Other,Transport,0.50455993
DSN1,Other,Chromatin,0.820315
DTYMK,Other,Cell_Cycle,0.63983804
DUT,Other,Cell_Cycle,0.5550318
DYNC1H1,Other,Chromatin,0.71202725
DYNC1I2,Other,Chromatin,0.7519424
DYNLL1,Other,Cell_Cycle,0.5212728
DYNLRB1,Other,Chromatin,0.6025348
EEF2,Other,Immune_Response,0.44489586
EIF2B5,Other,Protein_Folding,0.7311114
EIF2S1,Other,Protein_Folding,0.74426365
EIF6,Other,Translation,0.7109843
EP400,Other,Signal_Transduction,0.6195557
EPRS,Other,Transport,0.5571426
ERCC2,Other,Development,0.46442795
FAM136A,Other,Development,0.72846484
FAM32A,Other,Transcription,0.6368702
FBXO5,Other,Cell_Cycle,0.48533237
FNTA,Other,Transcription,0.39898703
GATA1,Other,Development,0.5847108
GBF1,Other,Transport,0.652416
GEMIN5,Other,Transcription,0.46391124
GMPS,Other,Signal_Transduction,0.42292216
GNL2,Other,Translation,0.85717535
GNL3,Other,Translation,0.6150372
GNL3L,Other,Translation,0.5321999
GPN1,Other,Transcription,0.6217766
GPN2,Other,Development,0.48629045
GPN3,Other,Transcription,0.6932858
GPS1,Other,Protein_Folding,0.39351952
GTPBP4,Other,Translation,0.61854154
GUCD1,Other,Transcription,0.7398367
HARS,Other,Transport,0.7327738
HAUS4,Other,Chromatin,0.5599735
HAUS5,Other,Chromatin,0.47371924
HDAC7,Other,Cell_Cycle,0.8321879
HGS,Other,Transport,0.6823346
HMGCS1,Other,Transport,0.5949601
HSCB,Other,Transport,0.38933918
HSD17B12,Other,Transport,0.65885997
HSPA8,Other,Signal_Transduction,0.6172468
HSPA9,Other,Transport,0.75632685
HYPK,Other,Development,0.38090506
IARS,Other,Transport,0.5314552
IGBP1,Other,Chromatin,0.67448515
IMPDH2,Other,Signal_Transduction,0.5384561
INO80,Other,DNA_Repair,0.46031803
INTS3,Other,Transcription,0.4763822
ISCU,Other,Transport,0.53730196
KARS,Other,Transport,0.49853167
KIF20A,Other,Cell_Cycle,0.48350102
KPNB1,Other,Transcription,0.6009867
KRI1,Other,Translation,0.42508817
LAMTOR2,Other,Chromatin,0.4486552
LAMTOR4,Other,Development,0.38997006
LARS,Other,Transport,0.61893064
LETM1,Other,Transport,0.47402012
LONP1,Other,Transport,0.3956496
LSG1,Other,Translation,0.7048346
LTV1,Other,Translation,0.7632824
MAD2L1,Other,Transport,0.49498236
MARS,Other,Transport,0.60087776
MAT2A,Other,Transcription,0.34922653
MAU2,Other,DNA_Repair,0.32621032
MDN1,Other,Translation,0.51371926
METAP2,Other,Protein_Folding,0.34920198
MICOS10,Other,Transport,0.50846475
MIOS,Other,Transport,0.43850598
MMS22L,Other,Cell_Cycle,0.7283171
MOB4,Other,Signal_Transduction,0.48883775
MRPL38,Other,Transport,0.48335207
MRPL39,Other,Transport,0.5049702
MRPL50,Other,Transport,0.4418563
MRPL53,Other,Transport,0.44580716
MRPL54,Other,Transport,0.38769695
MRPS10,Other,Transport,0.36725062
MRPS22,Other,Transport,0.330437
MRPS26,Other,Transport,0.31531343
MTBP,Other,Cell_Cycle,0.723693
MTOR,Other,Transport,0.59581864
MVD,Other,Transport,0.52822584
MZT1,Other,Cell_Cycle,0.5042858
NAA15,Other,Development,0.43506265
NAA20,Other,Protein_Folding,0.33320296
NAA25,Other,Chromatin,0.49481052
NACA,Other,Protein_Folding,0.6474178
NARS,Other,Transport,0.6940698
NCKAP1,Other,Development,0.40091094
NDC80,Other,Chromatin,0.7613543
NDUFA2,Other,Transcription,0.68068945
NDUFA6,Other,Transport,0.3470791
NDUFAB1,Other,Transport,0.48122036
NEDD8,Other,Protein_Degradation,0.4549781
NEPRO,Other,Translation,0.55522096
NFS1,Other,Transport,0.5671625
NMD3,Other,Translation,0.64342904
NOL12,Other,Translation,0.58397216
NOM1,Other,Translation,0.37775266
NOP10,Other,Translation,0.365943
NOP16,Other,Translation,0.7825593
NPLOC4,Other,Transport,0.6559052
NUBP1,Other,Transport,0.5045116
NUDC,Other,Transcription,0.3521794
NUDCD3,Other,Chromatin,0.36409998
NUF2,Other,Transcription,0.7739575
NUMA1,Other,DNA_Repair,0.4640106
NUP54,Other,Chromatin,0.52482736
NUP62,Other,Transcription,0.6166322
NUP85,Other,Chromatin,0.47970462
NUP88,Other,Transcription,0.48954153
NUP98,Other,Transcription,0.7101393
NUTF2,Other,Chromatin,0.5163485
NVL,Other,Translation,0.60510385
OPA1,Other,Transport,0.3813211
OXA1L,Other,Transport,0.63042724
PABPN1,Other,Transcription,0.36865944
PAM16,Other,Protein_Folding,0.60781276
PCNA,Other,Cell_Cycle,0.7991723
PDAP1,Other,Transport,0.5327514
PDCD7,Other,Transcription,0.3823654
PFN1,Other,Transport,0.4424784
PGAM1,Other,Cell_Cycle,0.36279356
PGD,Other,Transport,0.36428466
PGPEP1,Other,Transport,0.5311707
PHB,Other,Protein_Folding,0.7507179
PHB2,Other,Protein_Folding,0.75468713
PIAS4,Other,Transcription,0.55636966
PKM,Other,Transport,0.35749295
PMPCA,Other,Transport,0.6201149
PMPCB,Other,Transport,0.70455575
PNISR,Other,Cell_Cycle,0.3934462
PNO1,Other,Translation,0.6883632
POLA1,Other,Cell_Cycle,0.8391778
POLD1,Other,Cell_Cycle,0.8448051
POLD3,Other,Cell_Cycle,0.6898066
POLR1B,Other,Translation,0.62592363
PPIL4,Other,Transcription,0.49643853
PPP4C,Other,Protein_Folding,0.37643236
PPP4R2,Other,Protein_Folding,0.34678575
PRELID1,Other,Transport,0.45738673
PSMC6,Other,Protein_Degradation,0.8347999
PSMD12,Other,Protein_Degradation,0.89310455
PSMG4,Other,Translation,0.43404606
PWP2,Other,Translation,0.42560247
QARS,Other,Transport,0.7746699
RACGAP1,Other,Chromatin,0.57132715
RAD21,Other,Development,0.49830887
RAD51,Other,Cell_Cycle,0.7669362
RAD51C,Other,Cell_Cycle,0.6217053
RAN,Other,Signal_Transduction,0.49965835
RANGAP1,Other,Transcription,0.33771092
RARS,Other,Transport,0.67359143
RBBP8,Other,Cell_Cycle,0.57333577
RBM14,Other,Cell_Cycle,0.3385235
RBX1,Other,Protein_Degradation,0.4474414
RIOK2,Other,Translation,0.65289605
RMI1,Other,Chromatin,0.30977333
ROMO1,Other,Transport,0.55606365
RPA1,Other,Cell_Cycle,0.637074
RPA2,Other,Cell_Cycle,0.7121098
RPA3,Other,Cell_Cycle,0.77911806
RPAP1,Other,Development,0.5152948
RPF2,Other,Translation,0.5747911
RPL11,Other,Translation,0.88796455
RPL23,Other,Translation,0.8725797
RPS10-NUDT3,Other,Translation,0.7325317
RPS15,Other,Translation,0.55651546
RPS19,Other,Translation,0.81000304
RPS19BP1,Other,Translation,0.51567984
RPS3,Other,Translation,0.76067674
RPS6,Other,Translation,0.78786355
RPS7,Other,Translation,0.8186344
RPTOR,Other,Signal_Transduction,0.44510382
RRM1,Other,Cell_Cycle,0.8042557
RRP1,Other,Translation,0.56663877
RRP12,Other,Translation,0.6711503
RRP7A,Other,Translation,0.5726619
RRS1,Other,Translation,0.74914604
RSL1D1,Other,Translation,0.60358703
RTF1,Other,Chromatin,0.5365552
RUVBL1,Other,Transcription,0.7432883
