gene,old_class,new_class,go_terms_count
ABCB7,Other,Metabolism,20
ACTB,Other,Transcription,39
ACTL6A,Other,Transcription,53
ALDOA,Other,Metabolism,15
ALG13,Other,Metabolism,4
ALG2,Other,Metabolism,7
ATF4,Other,Transcription,92
BRD8,Other,Transcription,10
BYSL,Other,Translation,9
C1QBP,Other,Translation,35
CDC73,Other,Transcription,26
CHMP1A,Other,Metabolism,41
CHMP2A,Other,Metabolism,50
CHMP3,Other,Metabolism,53
CHMP6,Other,Metabolism,38
CLTC,Other,Metabolism,24
COPS2,Other,Transcription,14
COPS5,Other,Translation,16
COX15,Other,Metabolism,6
CSNK1A1,Other,Metabolism,31
CUL7,Other,Metabolism,22
DAP3,Other,Translation,5
DDB1,Other,Metabolism,48
DDX20,Other,Transcription,17
DDX6,Other,Translation,14
DHDDS,Other,Metabolism,5
DHODH,Other,Metabolism,6
DHX33,Other,Transcription,10
DLD,Other,Metabolism,14
DTYMK,Other,Metabolism,12
DUT,Other,Metabolism,12
EEF2,Other,Translation,21
EIF2B5,Other,Translation,23
EIF2S1,Other,Translation,33
EIF6,Other,Translation,25
ERCC2,Other,Transcription,50
GATA1,Other,Transcription,60
GEMIN5,Other,Translation,11
GMPS,Other,Metabolism,6
HDAC7,Other,Transcription,16
HGS,Other,Metabolism,23
HMGCS1,Other,Metabolism,14
HSD17B12,Other,Metabolism,8
HSF1,Other,Transcription,66
HSPA8,Other,Metabolism,45
ILF3,Other,Translation,10
IMPDH2,Other,Metabolism,9
INO80,Other,Transcription,40
INTS3,Other,Transcription,12
KAT8,Other,Transcription,37
KPNB1,Other,Metabolism,25
LONP1,Other,Metabolism,24
LTV1,Other,Translation,5
MAT2A,Other,Metabolism,19
MTOR,Other,Metabolism,152
MVD,Other,Metabolism,12
NACA,Other,Transcription,14
NDUFAB1,Other,Metabolism,10
NEDD8,Other,Metabolism,14
NFS1,Other,Metabolism,11
NPLOC4,Other,Metabolism,13
NUP98,Other,Transcription,14
NVL,Other,Translation,10
OGFOD1,Other,Translation,6
OGT,Other,Transcription,63
PGD,Other,Metabolism,9
PHB2,Other,Transcription,39
PIAS4,Other,Transcription,32
PKM,Other,Translation,13
POLD1,Other,Metabolism,26
POLD3,Other,Metabolism,14
POLR1B,Other,Transcription,5
PPP1CA,Other,Transcription,34
PPP2R1A,Other,Transcription,22
PRMT1,Other,Translation,48
PRMT5,Other,Transcription,24
PSMC6,Other,Metabolism,6
RAN,Other,Metabolism,29
RBM14,Other,Transcription,15
RBX1,Other,Metabolism,90
RPL11,Other,Translation,23
RPL23,Other,Translation,16
RPS15,Other,Translation,11
RPS19,Other,Translation,19
RPS3,Other,Translation,40
RPS6,Other,Translation,16
RPS7,Other,Translation,17
RPTOR,Other,Translation,48
RRM1,Other,Metabolism,21
RTF1,Other,Transcription,10
RUVBL1,Other,Transcription,38
SIN3A,Other,Transcription,38
TSG101,Other,Metabolism,35
TXN,Other,Transcription,11
UBE2I,Other,Transcription,18
UBQLN4,Other,Metabolism,12
UFL1,Other,Metabolism,57
URI1,Other,Transcription,12
UXT,Other,Transcription,7
VPS28,Other,Metabolism,17
VPS35,Other,Metabolism,55
WDR74,Other,Metabolism,9
WDTC1,Other,Metabolism,10
XPO1,Other,Metabolism,28
XRCC6,Other,Transcription,29
