target	class
AAMP	Other
AARS	Immune_Response
AATF	Cell_Cycle
ABCB7	Metabolism
ABCE1	Translation
ABCF1	Translation
ABT1	Transcription
ACTB	Transcription
ACTL6A	Transcription
ACTR6	Transcription
ACTR8	DNA_Repair
AHCTF1	Transport
AHCY	Metabolism
AKIRIN2	Immune_Response
ALDOA	Metabolism
ALG13	Metabolism
ALG2	Metabolism
ALYREF	Transcription
ANAPC2	Protein_Degradation
ANAPC4	Protein_Degradation
ANKRD11	Development
AP2S1	Transport
AQR	Transcription
ARCN1	Transport
ARGLU1	Transcription
ARIH1	Protein_Degradation
ARL2	Cell_Cycle
ARMC7	Transcription
ARPC4	Development
ATF4	Transcription
ATF5	Transcription
ATP1A1	Other
ATP6AP1	DNA_Repair
ATP6V0B	DNA_Repair
ATP6V0C	Cell_Cycle
ATP6V1A	Transport
ATP6V1B2	Transport
ATR	Chromatin
ATRIP	DNA_Repair
BANP	Development
BAP1	Cell_Cycle
BCAS2	Transcription
BDP1	Immune_Response
BGLAP	Cell_Cycle
BMS1	Transcription
BNIP1	Transport
BOP1	Transcription
BRD8	Transcription
BRIX1	Development
BTF3	Development
BUB3	Chromatin
BUD13	Transcription
BUD31	Transcription
BYSL	Translation
C12orf45	Other
C14orf178	Transcription
C1QBP	Translation
C7orf26	Development
CACTIN	Transcription
CAPZB	Cell_Cycle
CASP8AP2	Signal_Transduction
CBLL1	Other
CCDC174	Transcription
CCDC59	Cell_Cycle
CCDC84	Chromatin
CCDC86	Chromatin
CCNH	Transcription
CCNK	Transcription
CCT2	Protein_Folding
CCT3	Protein_Folding
CCT4	Protein_Folding
CCT5	Other
CCT6A	Protein_Folding
CCT7	Protein_Folding
CCT8	Protein_Folding
CD3EAP	Cell_Cycle
CDAN1	Chromatin
CDC123	Translation
CDC16	Protein_Degradation
CDC23	Cell_Cycle
CDC27	Cell_Cycle
CDC40	Transcription
CDC5L	Transcription
CDC6	Cell_Cycle
CDC73	Transcription
CDK1	Cell_Cycle
CDK9	Transcription
CEBPZ	Cell_Cycle
CENPC	Transcription
CENPE	Cell_Cycle
CENPJ	Translation
CENPK	Cell_Cycle
CEP192	Cell_Cycle
CHAF1A	Chromatin
CHAF1B	Cell_Cycle
CHCHD4	Immune_Response
CHD4	Transcription
CHEK1	Transcription
CHERP	Transcription
CHMP1A	Metabolism
CHMP2A	Metabolism
CHMP3	Metabolism
CHMP6	Metabolism
CIAPIN1	Translation
CINP	Cell_Cycle
CKAP5	Cell_Cycle
CLNS1A	Transcription
CLP1	Transcription
CLSPN	DNA_Repair
CLTC	Metabolism
CMTR1	Transcription
CNIH4	Transport
CNOT1	Transcription
CNOT2	Transcription
CNOT3	Cell_Cycle
COG2	Transport
COG3	Transport
COPB1	Transport
COPB2	Transport
COPS2	Transcription
COPS3	Transcription
COPS4	Cell_Cycle
COPS5	Translation
COPS6	Chromatin
COPS8	Transcription
COPZ1	Transport
COX11	Cell_Cycle
COX15	Metabolism
COX17	Other
COX7C	Other
CPSF1	Transcription
CPSF3	Transcription
CPSF4	Transcription
CPSF6	Transcription
CRNKL1	Transcription
CSE1L	Transcription
CSNK1A1	Metabolism
CSNK2B	Development
CSTF1	Transcription
CSTF3	Transcription
CTDP1	Transcription
CTNNBL1	Transcription
CTR9	Transcription
CUL1	Protein_Degradation
CUL2	Protein_Degradation
CUL7	Metabolism
CWC15	Transcription
CWC22	Transcription
CWF19L2	Cell_Cycle
CXXC1	Transcription
CYCS	Transport
DAD1	Protein_Folding
DAP3	Translation
DARS	Immune_Response
DBR1	Transcription
DCUN1D5	Transcription
DDB1	Metabolism
DDOST	Protein_Folding
DDX10	Transcription
DDX18	Transcription
DDX20	Transcription
DDX21	Transcription
DDX23	Transcription
DDX24	Other
DDX27	Transcription
DDX41	Transcription
DDX46	Transcription
DDX47	Transcription
DDX49	Transcription
DDX5	Transcription
DDX51	Transcription
DDX52	Transcription
DDX54	Transcription
DDX55	Transcription
DDX56	Transcription
DDX59	Cell_Cycle
DDX6	Translation
DENR	Translation
DERL2	Protein_Folding
DHDDS	Metabolism
DHODH	Metabolism
DHX15	Immune_Response
DHX16	Transcription
DHX33	Transcription
DHX36	Transcription
DHX37	Development
DICER1	Transcription
DIMT1	Transcription
DIS3	Transcription
DKC1	Transcription
DLD	Metabolism
DMAP1	Transcription
DNAJA3	Other
DNAJC17	Transcription
DNAJC19	Other
DNAJC8	Transcription
DNM1L	Other
DNMT1	Transcription
DNTTIP2	Transcription
DOHH	Other
DONSON	Cell_Cycle
DPH2	Translation
DR1	Transcription
DRAP1	Transcription
DSN1	Transcription
DTL	Protein_Degradation
DTYMK	Metabolism
DUT	Metabolism
DYNC1H1	Transport
DYNC1I2	Transcription
DYNLL1	Cell_Cycle
DYNLRB1	Chromatin
E4F1	Cell_Cycle
EBNA1BP2	Transcription
ECD	Transcription
EEF1G	Translation
EEF2	Translation
EFTUD2	Transcription
EIF1AX	Translation
EIF2B1	Translation
EIF2B2	Translation
EIF2B3	Translation
EIF2B4	Translation
EIF2B5	Translation
EIF2S1	Translation
EIF2S2	Translation
EIF2S3	Translation
EIF3A	Translation
EIF3B	Translation
EIF3CL	Translation
EIF3D	Translation
EIF3E	Translation
EIF3F	Translation
EIF3G	Translation
EIF3H	Translation
EIF3I	Translation
EIF3J	Translation
EIF3M	Translation
EIF4E	Translation
EIF4G1	Translation
EIF4G2	Translation
EIF5	Translation
EIF5A	Translation
EIF6	Translation
ELP3	Transcription
ELP5	Transcription
EP400	DNA_Repair
EPRS	Protein_Folding
ERCC2	Transcription
ERCC3	Transcription
ERH	Metabolism
ESF1	Transcription
ETF1	Translation
EXOC7	Transport
EXOSC10	Transcription
EXOSC2	Transcription
EXOSC3	Transcription
EXOSC4	Transcription
EXOSC5	Transcription
EXOSC6	Transcription
EXOSC7	Transcription
EXOSC8	Transcription
EXOSC9	Transcription
FAM136A	Development
FAM32A	Transcription
FAM50A	Transcription
FARSA	Transcription
FARSB	Transcription
FASTKD5	Transcription
FAU	Immune_Response
FBL	Transcription
FBXO5	Other
FCF1	Transcription
FNTA	Transcription
FTSJ3	Transcription
GAB2	Signal_Transduction
GAR1	Cell_Cycle
GARS	Immune_Response
GATA1	Transcription
GBF1	Transport
GEMIN5	Translation
GFER	Development
GFM1	Translation
GINS1	Cell_Cycle
GINS2	Cell_Cycle
GINS3	Cell_Cycle
