baseline,epic1_peak_r,epic1_curvature,epic2_original_r,epic3_lipschitz,epic3_baseline_r,epic4_flip_rate,epic5_tas
k562_lpm_scgptGeneEmb,,,,,,0.0,
adamson_lpm_scgptGeneEmb,,,,,,0.0,
lpm_scgptGeneEmb,0.7887328948325899,-0.0065528303531663,0.7728145165881889,,,,-0.0815301625582879
rpe1_lpm_scgptGeneEmb,,,,,,0.0009445100354191,
lpm_randomGeneEmb,0.7774354160802405,-0.0080048420227573,0.7557053665517706,,,,-0.0341266863748758
rpe1_lpm_k562PertEmb,,,,,,0.0002361275088547,
results,,,,,,0.0,
adamson_lpm_gearsPertEmb,,,,,,0.0625,
k562_lpm_randomGeneEmb,,,,,,0.0,
rpe1_lpm_gearsPertEmb,,,,,,0.0207792207792207,
k562_lpm_scFoundationGeneEmb,,,,,,0.0,
lpm_rpe1PertEmb,0.7764900103025408,0.0016246538458153,0.6920848908970645,1.5734973778906127,0.7419718180417102,,-0.1279228101487277
adamson_lpm_scFoundationGeneEmb,,,,,,0.0,
adamson_lpm_randomGeneEmb,,,,,,0.0,
adamson_lpm_k562PertEmb,,,,,,0.0,
rpe1_lpm_randomPertEmb,,,,,,0.0198347107438016,
adamson_lpm_selftrained,,,,,,0.0,
lpm_scFoundationGeneEmb,0.7814106559574286,-0.0070812275177867,0.7642156103951749,,,,-0.0138959550003137
k562_lpm_rpe1PertEmb,,,,,,0.0003146138115463,
lpm_randomPertEmb,0.5168553989386454,0.0160777183087387,0.3220666922163277,,,,0.0502624132956769
k562_lpm_randomPertEmb,,,,,,0.0022022966808242,
lpm_selftrained,0.8139280800588486,-0.0039596006624644,0.7975486391149832,0.1448195092064064,0.9428916092388038,,-0.1179677373083838
k562_lpm_gearsPertEmb,,,,,,0.0029888312096901,
adamson_lpm_rpe1PertEmb,,,,,,0.0,
k562_lpm_selftrained,,,,,,0.0,
rpe1_lpm_randomGeneEmb,,,,,,0.0009445100354191,
rpe1_lpm_rpe1PertEmb,,,,,,0.0,
lpm_k562PertEmb,0.7802912960861547,0.0025223032254734,0.7049054901121157,1.1630143754410738,0.7463266546702901,,0.0725902238288735
adamson_lpm_randomPertEmb,,,,,,0.0416666666666666,
rpe1_lpm_scFoundationGeneEmb,,,,,,0.0009445100354191,
k562_lpm_k562PertEmb,,,,,,0.0,
lpm_gearsPertEmb,0.6300231271538222,-0.0043714194413572,0.6076983971265437,2.0283499209379627,0.6056104166447435,,0.0696096398065459
rpe1_lpm_selftrained,,,,,,0.0009445100354191,
