epic,baseline,dataset,n_rows,mean_r,std_r,n_noise_levels
3,lpm_scgptGeneEmb,rpe1,12,,,4
3,lpm_scgptGeneEmb,adamson,12,,,4
3,lpm_scgptGeneEmb,k562,12,,,4
3,lpm_k562PertEmb,rpe1,15,0.7035395132542859,0.012271768126831398,5
3,lpm_k562PertEmb,adamson,15,0.9269079403521244,0.006206444802903317,5
3,lpm_k562PertEmb,k562,15,0.6053355241746118,0.01724410964470153,5
3,lpm_randomPertEmb,rpe1,12,,,4
3,lpm_randomPertEmb,adamson,12,,,4
3,lpm_randomPertEmb,k562,12,,,4
3,lpm_rpe1PertEmb,rpe1,15,0.6919425147022784,0.02485813783609548,5
3,lpm_rpe1PertEmb,adamson,15,0.9298435101595175,0.002689111234748254,5
3,lpm_rpe1PertEmb,k562,15,0.6007794554059465,0.011783655429016486,5
3,lpm_selftrained,rpe1,12,,,4
3,lpm_selftrained,adamson,6,0.942866787156673,0.0015695750728026137,3
3,lpm_selftrained,k562,12,,,4
3,lpm_randomGeneEmb,rpe1,12,,,4
3,lpm_randomGeneEmb,adamson,12,,,4
3,lpm_randomGeneEmb,k562,12,,,4
3,lpm_scFoundationGeneEmb,rpe1,12,,,4
3,lpm_scFoundationGeneEmb,adamson,12,,,4
3,lpm_scFoundationGeneEmb,k562,12,,,4
3,lpm_gearsPertEmb,rpe1,15,0.6058112660760318,0.01684084219808343,5
3,lpm_gearsPertEmb,adamson,15,0.7752352077585246,0.010018735424403456,5
3,lpm_gearsPertEmb,k562,15,0.42297448949495586,0.02217521737873651,5
