epic,baseline,dataset,n_rows,mean_flip_rate
4,lpm_k562PertEmb,rpe1,231,0.0002361275088547814
4,lpm_k562PertEmb,adamson,12,0.0
4,lpm_k562PertEmb,k562,163,0.0
4,lpm_randomGeneEmb,rpe1,231,0.000944510035419123
4,lpm_randomGeneEmb,adamson,12,0.0
4,lpm_randomGeneEmb,k562,163,0.0
4,lpm_gearsPertEmb,rpe1,231,0.020779220779220755
4,lpm_gearsPertEmb,adamson,12,0.0625
4,lpm_gearsPertEmb,k562,163,0.002988831209690102
4,lpm_scFoundationGeneEmb,rpe1,231,0.000944510035419123
4,lpm_scFoundationGeneEmb,adamson,12,0.0
4,lpm_scFoundationGeneEmb,k562,163,0.0
4,lpm_selftrained,rpe1,231,0.000944510035419123
4,lpm_selftrained,adamson,12,0.0
4,lpm_selftrained,k562,163,0.0
4,lpm_randomPertEmb,rpe1,231,0.01983471074380163
4,lpm_randomPertEmb,adamson,12,0.041666666666666664
4,lpm_randomPertEmb,k562,163,0.0022022966808242857
4,lpm_rpe1PertEmb,rpe1,231,0.0
4,lpm_rpe1PertEmb,adamson,12,0.0
4,lpm_rpe1PertEmb,k562,163,0.0003146138115463264
4,lpm_scgptGeneEmb,rpe1,231,0.000944510035419123
4,lpm_scgptGeneEmb,adamson,12,0.0
4,lpm_scgptGeneEmb,k562,163,0.0
