baseline,epic1_peak_r,epic1_curvature,epic2_original_r,epic3_lipschitz,epic3_baseline_r,epic4_flip_rate,epic5_tas
k562_lpm_scgptGeneEmb,,,,,,0.0,
adamson_lpm_scgptGeneEmb,,,,,,0.0,
lpm_scgptGeneEmb,0.7887328948325899,-0.0065528303531663295,0.7728145165881889,,,,-0.0815301625582879
rpe1_lpm_scgptGeneEmb,,,,,,0.000944510035419123,
lpm_randomGeneEmb,0.7774354160802405,-0.008004842022757383,0.7557053665517706,,,,-0.03412668637487585
rpe1_lpm_k562PertEmb,,,,,,0.0002361275088547814,
results,,,,,,0.0,
adamson_lpm_gearsPertEmb,,,,,,0.0625,
k562_lpm_randomGeneEmb,,,,,,0.0,
rpe1_lpm_gearsPertEmb,,,,,,0.020779220779220755,
k562_lpm_scFoundationGeneEmb,,,,,,0.0,
lpm_rpe1PertEmb,0.7764900103025408,0.0016246538458153565,0.6920848908970645,1.5734973778906127,0.7419718180417102,,-0.12792281014872772
adamson_lpm_scFoundationGeneEmb,,,,,,0.0,
adamson_lpm_randomGeneEmb,,,,,,0.0,
adamson_lpm_k562PertEmb,,,,,,0.0,
rpe1_lpm_randomPertEmb,,,,,,0.01983471074380163,
adamson_lpm_selftrained,,,,,,0.0,
lpm_scFoundationGeneEmb,0.7814106559574286,-0.007081227517786763,0.7642156103951749,,,,-0.013895955000313787
k562_lpm_rpe1PertEmb,,,,,,0.0003146138115463264,
lpm_randomPertEmb,0.5168553989386454,0.01607771830873874,0.3220666922163277,,,,0.05026241329567698
k562_lpm_randomPertEmb,,,,,,0.0022022966808242857,
lpm_selftrained,0.8139280800588486,-0.0039596006624644615,0.7975486391149832,0.1448195092064064,0.9428916092388038,,-0.11796773730838389
k562_lpm_gearsPertEmb,,,,,,0.002988831209690102,
adamson_lpm_rpe1PertEmb,,,,,,0.0,
k562_lpm_selftrained,,,,,,0.0,
rpe1_lpm_randomGeneEmb,,,,,,0.000944510035419123,
rpe1_lpm_rpe1PertEmb,,,,,,0.0,
lpm_k562PertEmb,0.7802912960861547,0.0025223032254734026,0.7049054901121157,1.1630143754410738,0.7463266546702901,,0.07259022382887359
adamson_lpm_randomPertEmb,,,,,,0.041666666666666664,
rpe1_lpm_scFoundationGeneEmb,,,,,,0.000944510035419123,
k562_lpm_k562PertEmb,,,,,,0.0,
lpm_gearsPertEmb,0.6300231271538222,-0.004371419441357258,0.6076983971265437,2.0283499209379627,0.6056104166447435,,0.06960963980654594
rpe1_lpm_selftrained,,,,,,0.000944510035419123,
