dataset,baseline,peak_k,peak_r,mean_r,curvature_index,is_u_shaped,stability,n_k_values
adamson,lpm_gearsPertEmb,10,0.7902054262243193,0.786198956741206,0.0,False,0.00566600348025273,2
adamson,lpm_k562PertEmb,5,0.9315817596190787,0.9303708670187869,0.0,False,0.0017124607379099366,2
adamson,lpm_randomGeneEmb,3,0.9341645842485348,0.8568445022732846,-0.010947018621672938,True,0.06901040779442745,6
adamson,lpm_randomPertEmb,30,0.6936315290900188,0.590031221264364,0.008051717400645073,False,0.07775560853758356,6
adamson,lpm_rpe1PertEmb,20,0.9335171329264642,0.9290853704305332,-0.0006781906825203965,False,0.003369617946911044,6
adamson,lpm_scFoundationGeneEmb,3,0.9350471916873819,0.8785527661135938,-0.00788436343584445,True,0.05088426911510088,6
adamson,lpm_scgptGeneEmb,3,0.9358169369778183,0.894937122231468,-0.007384290896834789,True,0.038902199693928025,6
adamson,lpm_selftrained,10,0.9443387923923497,0.9426988004638472,-0.0008669154930354417,False,0.00210243598532481,6
k562,lpm_gearsPertEmb,50,0.4646847525460268,0.4287663102370108,-0.006165696986781363,False,0.03803091721422985,6
k562,lpm_k562PertEmb,50,0.6653278325555425,0.6224838530503626,0.005879502084157079,False,0.02908990278929351,6
k562,lpm_randomGeneEmb,20,0.652401588655144,0.6426165646205668,-0.00714241456837475,False,0.014311167593914277,6
k562,lpm_randomPertEmb,30,0.280245943944552,0.18024709176037737,0.006333334819123786,False,0.081150384509632,6
k562,lpm_rpe1PertEmb,50,0.6389902763875622,0.6090634548235587,-0.00032948324656587036,False,0.02162871945286554,6
k562,lpm_scFoundationGeneEmb,30,0.6579369758087068,0.6470827870698729,-0.006988727152790697,False,0.01581342151049473,6
k562,lpm_scgptGeneEmb,30,0.6663402488232575,0.6522271886089405,-0.006438795211151954,False,0.019280961258729738,6
k562,lpm_selftrained,50,0.7062244158679628,0.6796629803968065,-0.006010536605851241,False,0.02958158999517192,6
rpe1,lpm_gearsPertEmb,50,0.6351792026911205,0.6069629679649681,-0.00694856133729041,False,0.03181873467054172,6
rpe1,lpm_k562PertEmb,50,0.7439642960838427,0.7150746609113936,0.0016874075922631293,False,0.019855622301772277,6
rpe1,lpm_randomGeneEmb,20,0.7457400753370425,0.7374820510830964,-0.005925092878224458,False,0.011007291124777814,6
rpe1,lpm_randomPertEmb,30,0.5766887237813657,0.42394187412260115,0.033848102706447364,False,0.14393857931267381,6
rpe1,lpm_rpe1PertEmb,50,0.7569626215935958,0.7133646985348309,0.005881635466532337,False,0.033710942751191166,6
rpe1,lpm_scFoundationGeneEmb,20,0.7512478003761971,0.7414712125594568,-0.006370591964725142,False,0.012325216303192468,6
rpe1,lpm_scgptGeneEmb,30,0.7640414986966939,0.7512026146848135,-0.005835404951512246,False,0.016951402388243404,6
rpe1,lpm_selftrained,50,0.7912210319162333,0.7700395559452766,-0.005001349888506701,False,0.02453047844632733,6
