dataset,baseline,mean_original_r,delta_r,n_functional_classes,n_perturbations
adamson,lpm_randomGeneEmb,0.8783404769926584,,7,36
adamson,lpm_randomPertEmb,0.5431005032003358,,7,36
adamson,lpm_scFoundationGeneEmb,0.8957361274807436,,7,36
adamson,lpm_scgptGeneEmb,0.9096222734361409,,7,36
adamson,lpm_selftrained,0.9431798985722991,,7,36
k562,lpm_randomGeneEmb,0.6474294037962179,,12,489
k562,lpm_randomPertEmb,0.1157264847369449,,12,489
k562,lpm_scFoundationGeneEmb,0.6512987988295188,,12,489
k562,lpm_scgptGeneEmb,0.6549864276375736,,12,489
k562,lpm_selftrained,0.6792919313208917,,12,489
rpe1,lpm_gearsPertEmb,0.6076983971265437,,11,687
rpe1,lpm_k562PertEmb,0.7049054901121157,,12,693
rpe1,lpm_randomGeneEmb,0.7413462188664353,,12,693
rpe1,lpm_randomPertEmb,0.30737308871170255,,12,693
rpe1,lpm_rpe1PertEmb,0.6920848908970645,,12,693
rpe1,lpm_scFoundationGeneEmb,0.7456119048752626,,12,693
rpe1,lpm_scgptGeneEmb,0.7538348486908522,,12,693
rpe1,lpm_selftrained,0.7701740874517589,,12,693
