dataset,baseline,baseline_r,lipschitz_constant,mean_sensitivity,stability_class,n_noise_levels
adamson,lpm_gearsPertEmb,0.7823866407048213,1.0530880291953038,0.2543094415829403,Fragile,4
adamson,lpm_k562PertEmb,0.9291753434440483,0.2754265346738505,0.10903903251428736,Robust,4
adamson,lpm_rpe1PertEmb,0.9316211352047734,0.19740287303745552,0.05736568837981718,Robust,4
adamson,lpm_selftrained,0.9428916092388038,0.1448195092064064,0.08631495773312348,Robust,2
k562,lpm_gearsPertEmb,0.4267462121028653,2.830880156632898,0.6162588413410465,Hyper-fragile,4
k562,lpm_k562PertEmb,0.6048991304547063,1.945347841503564,0.4447600768966442,Fragile,4
k562,lpm_rpe1PertEmb,0.6022094280232925,1.4480071062209166,0.3248439263902854,Fragile,4
rpe1,lpm_gearsPertEmb,0.6076983971265437,2.201081576985686,0.48244324370915187,Hyper-fragile,4
rpe1,lpm_k562PertEmb,0.7049054901121158,1.2682687501458068,0.3015198478447227,Fragile,4
rpe1,lpm_rpe1PertEmb,0.6920848908970646,3.0750821544134666,0.6951513163718546,Hyper-fragile,4
