dataset,baseline,mean_tas,std_tas,n_perturbations
adamson,lpm_gearsPertEmb,0.11366742648596867,0.7530568044572292,12
adamson,lpm_k562PertEmb,0.23841629377900894,0.6818781308272152,12
adamson,lpm_randomGeneEmb,-0.11765404138376145,0.7108792914244151,12
adamson,lpm_randomPertEmb,0.21366537545789685,0.6948492723227462,12
adamson,lpm_rpe1PertEmb,-0.3731558388589586,0.6705707132645029,12
adamson,lpm_scFoundationGeneEmb,-0.06958699470471985,0.8309215677223598,12
adamson,lpm_scgptGeneEmb,-0.24560272008693115,0.6671831885252646,12
adamson,lpm_selftrained,-0.3731568622268593,0.7662731674441514,12
k562,lpm_gearsPertEmb,0.03231251754741765,0.488868420126888,163
k562,lpm_k562PertEmb,-0.008095835299701554,0.3555963423404124,163
k562,lpm_randomGeneEmb,0.018294978176528892,0.37505630112906135,163
k562,lpm_randomPertEmb,-0.03530558871870811,0.37527176317754246,163
k562,lpm_rpe1PertEmb,0.015851557226977054,0.36366896708698854,163
k562,lpm_scFoundationGeneEmb,-0.010830977202183937,0.4074006996646056,163
k562,lpm_scgptGeneEmb,0.03001629658829039,0.39782598972397115,163
k562,lpm_selftrained,0.027914130973499034,0.3798762706607114,163
rpe1,lpm_gearsPertEmb,0.0628489753862515,0.4895475785457821,231
rpe1,lpm_k562PertEmb,-0.012549786992686617,0.3927085027536313,231
rpe1,lpm_randomGeneEmb,-0.0030209959173949927,0.38501878039500437,231
rpe1,lpm_randomPertEmb,-0.027572546852157803,0.4763837316243636,231
rpe1,lpm_rpe1PertEmb,-0.02646414881420167,0.3709968969198489,231
rpe1,lpm_scFoundationGeneEmb,0.03873010690596243,0.415466672771165,231
rpe1,lpm_scgptGeneEmb,-0.02900406417622296,0.41340347864351273,231
rpe1,lpm_selftrained,-0.00866048067179143,0.4094167763656979,231
