dataset,baseline,mean_r,std_r,n_perturbations
adamson,lpm_gearsPertEmb,0.7484949661171476,0.397017397647403,12
adamson,lpm_k562PertEmb,0.9333607534734258,0.07662574892934954,12
adamson,lpm_randomGeneEmb,0.7213650428002354,0.38564551461561525,12
adamson,lpm_randomPertEmb,0.7074850803165238,0.41179780366700597,12
adamson,lpm_rpe1PertEmb,0.9302911356732187,0.0752410146888221,12
adamson,lpm_scFoundationGeneEmb,0.7767397966488766,0.27699493346011356,12
adamson,lpm_scgptGeneEmb,0.8106857899549124,0.1883136454972083,12
adamson,lpm_selftrained,0.9464797475793921,0.051529982584802826,12
k562,lpm_gearsPertEmb,0.44469605662308903,0.21612202484993523,161
k562,lpm_k562PertEmb,0.6527895149414472,0.1826144226246673,163
k562,lpm_randomGeneEmb,0.38824352231825815,0.17115483592091196,163
k562,lpm_randomPertEmb,0.3838204949841711,0.17160762014904093,163
k562,lpm_rpe1PertEmb,0.6022734765794371,0.19631653450412156,163
k562,lpm_scFoundationGeneEmb,0.42929816485548095,0.1608383040525468,163
k562,lpm_scgptGeneEmb,0.5126570355546317,0.1716577824037923,163
k562,lpm_selftrained,0.6638055643574201,0.17941997403557663,163
rpe1,lpm_gearsPertEmb,0.6276804588769408,0.2715473391778639,229
rpe1,lpm_k562PertEmb,0.7088463767751083,0.2128510103701674,231
rpe1,lpm_randomGeneEmb,0.6294591704417023,0.2674280565731765,231
rpe1,lpm_randomPertEmb,0.6285574841491146,0.26540552258646727,231
rpe1,lpm_rpe1PertEmb,0.757924159476285,0.17511564369441546,231
rpe1,lpm_scFoundationGeneEmb,0.6358936109091625,0.254134944468628,231
rpe1,lpm_scgptGeneEmb,0.667185684920003,0.2338331726530931,231
rpe1,lpm_selftrained,0.7678344348614736,0.16591004795948702,231
