dataset,baseline,perturbation,class,pearson_r,l2,split_type,baseline_type,class_name
adamson,lpm_selftrained,BHLHE40,Transcription,0.8603208858830569,5.451556959468909,functional_class_holdout,,
adamson,lpm_selftrained,CHERP,Transcription,0.8110959855981124,3.880831711239923,functional_class_holdout,,
adamson,lpm_selftrained,CREB1,Transcription,0.8929455968241697,5.3083441780975305,functional_class_holdout,,
adamson,lpm_selftrained,SOCS1,Transcription,0.9569107267975392,1.6608930355189615,functional_class_holdout,,
adamson,lpm_selftrained,ZNF326,Transcription,0.8890790606644083,5.519850092303891,functional_class_holdout,,
adamson,lpm_randomPertEmb,BHLHE40,Transcription,-0.460402154182999,11.945675400653016,functional_class_holdout,,
adamson,lpm_randomPertEmb,CHERP,Transcription,0.7157145441830992,4.635564260901551,functional_class_holdout,,
adamson,lpm_randomPertEmb,CREB1,Transcription,-0.5846629795181181,11.412778064040946,functional_class_holdout,,
adamson,lpm_randomPertEmb,SOCS1,Transcription,0.848673827989427,3.1003076488410843,functional_class_holdout,,
adamson,lpm_randomPertEmb,ZNF326,Transcription,-0.5413192077965587,10.86580761122969,functional_class_holdout,,
adamson,lpm_randomGeneEmb,BHLHE40,Transcription,-0.4091613629527141,10.82480727811844,functional_class_holdout,,
adamson,lpm_randomGeneEmb,CHERP,Transcription,0.7168185367115123,4.636107088290482,functional_class_holdout,,
adamson,lpm_randomGeneEmb,CREB1,Transcription,-0.4865093717289545,10.8866821022602,functional_class_holdout,,
adamson,lpm_randomGeneEmb,SOCS1,Transcription,0.8775781070248755,2.728136280696886,functional_class_holdout,,
adamson,lpm_randomGeneEmb,ZNF326,Transcription,-0.51721756350719,11.257561184962183,functional_class_holdout,,
adamson,lpm_scgptGeneEmb,BHLHE40,Transcription,0.2079076776860416,7.917408982913442,functional_class_holdout,,
adamson,lpm_scgptGeneEmb,CHERP,Transcription,0.749305358319867,4.3916028277258405,functional_class_holdout,,
adamson,lpm_scgptGeneEmb,CREB1,Transcription,0.2053636524124926,7.759693539169381,functional_class_holdout,,
adamson,lpm_scgptGeneEmb,SOCS1,Transcription,0.9055895338825976,2.4050081858611096,functional_class_holdout,,
adamson,lpm_scgptGeneEmb,ZNF326,Transcription,0.1995302199776182,8.056124060657337,functional_class_holdout,,
adamson,lpm_scFoundationGeneEmb,BHLHE40,Transcription,-0.0892601597417901,9.67411342520256,functional_class_holdout,,
adamson,lpm_scFoundationGeneEmb,CHERP,Transcription,0.7390302641492479,4.468961795726036,functional_class_holdout,,
adamson,lpm_scFoundationGeneEmb,CREB1,Transcription,-0.1242783770823302,9.651690412020033,functional_class_holdout,,
adamson,lpm_scFoundationGeneEmb,SOCS1,Transcription,0.8958986674077293,2.5249108960566793,functional_class_holdout,,
adamson,lpm_scFoundationGeneEmb,ZNF326,Transcription,-0.1378430725089062,9.998877431254703,functional_class_holdout,,
adamson,lpm_gearsPertEmb,BHLHE40,Transcription,0.5802985987725635,6.918616920004087,functional_class_holdout,,
adamson,lpm_gearsPertEmb,CHERP,Transcription,0.6794598777238332,5.012345343550478,functional_class_holdout,,
adamson,lpm_gearsPertEmb,CREB1,Transcription,0.3927094048289405,7.398867783411774,functional_class_holdout,,
adamson,lpm_gearsPertEmb,SOCS1,Transcription,0.8523773414066849,3.00177918797763,functional_class_holdout,,
adamson,lpm_gearsPertEmb,ZNF326,Transcription,-0.4186730214798311,12.9478537608613,functional_class_holdout,,
adamson,lpm_k562PertEmb,BHLHE40,Transcription,0.7383563284842292,7.02452152580549,functional_class_holdout,,
adamson,lpm_k562PertEmb,CHERP,Transcription,0.7743228936606485,3.853282423631687,functional_class_holdout,,
adamson,lpm_k562PertEmb,CREB1,Transcription,0.7907477106319734,6.946771395239326,functional_class_holdout,,
adamson,lpm_k562PertEmb,SOCS1,Transcription,0.9380475986714482,1.7334612937006133,functional_class_holdout,,
adamson,lpm_k562PertEmb,ZNF326,Transcription,0.7825221781751281,7.199347715723195,functional_class_holdout,,
adamson,lpm_rpe1PertEmb,BHLHE40,Transcription,0.7759961165171225,5.5345482254467075,functional_class_holdout,,
adamson,lpm_rpe1PertEmb,CHERP,Transcription,0.7550079407032616,3.2938388392456495,functional_class_holdout,,
adamson,lpm_rpe1PertEmb,CREB1,Transcription,0.8134668473493958,5.542079167234641,functional_class_holdout,,
adamson,lpm_rpe1PertEmb,SOCS1,Transcription,0.9441832076642186,1.4716762106014738,functional_class_holdout,,
adamson,lpm_rpe1PertEmb,ZNF326,Transcription,0.8150924869540885,5.736045409782692,functional_class_holdout,,
adamson,mean_response,BHLHE40,Transcription,-0.4151694252655682,10.843321800231934,functional_class_holdout,,
adamson,mean_response,CHERP,Transcription,0.7163257051222065,4.639759540557861,functional_class_holdout,,
adamson,mean_response,CREB1,Transcription,-0.4935260181868572,10.90609359741211,functional_class_holdout,,
adamson,mean_response,SOCS1,Transcription,0.87744825489274,2.7293355464935303,functional_class_holdout,,
adamson,mean_response,ZNF326,Transcription,-0.5261913960034383,11.280769348144531,functional_class_holdout,,
adamson,lpm_selftrained,BHLHE40,Transcription,0.8603208858830569,5.451556959468909,functional_class_holdout,lpm_selftrained,Transcription
adamson,lpm_selftrained,CHERP,Transcription,0.8110959855981124,3.880831711239923,functional_class_holdout,lpm_selftrained,Transcription
adamson,lpm_selftrained,CREB1,Transcription,0.8929455968241697,5.3083441780975305,functional_class_holdout,lpm_selftrained,Transcription
adamson,lpm_selftrained,SOCS1,Transcription,0.9569107267975392,1.6608930355189615,functional_class_holdout,lpm_selftrained,Transcription
adamson,lpm_selftrained,ZNF326,Transcription,0.8890790606644083,5.519850092303891,functional_class_holdout,lpm_selftrained,Transcription
adamson,lpm_randomPertEmb,BHLHE40,Transcription,-0.460402154182999,11.945675400653016,functional_class_holdout,lpm_randomPertEmb,Transcription
adamson,lpm_randomPertEmb,CHERP,Transcription,0.7157145441830992,4.635564260901551,functional_class_holdout,lpm_randomPertEmb,Transcription
adamson,lpm_randomPertEmb,CREB1,Transcription,-0.5846629795181181,11.412778064040946,functional_class_holdout,lpm_randomPertEmb,Transcription
adamson,lpm_randomPertEmb,SOCS1,Transcription,0.848673827989427,3.1003076488410843,functional_class_holdout,lpm_randomPertEmb,Transcription
adamson,lpm_randomPertEmb,ZNF326,Transcription,-0.5413192077965587,10.86580761122969,functional_class_holdout,lpm_randomPertEmb,Transcription
adamson,lpm_randomGeneEmb,BHLHE40,Transcription,-0.4091613629527141,10.82480727811844,functional_class_holdout,lpm_randomGeneEmb,Transcription
adamson,lpm_randomGeneEmb,CHERP,Transcription,0.7168185367115123,4.636107088290482,functional_class_holdout,lpm_randomGeneEmb,Transcription
adamson,lpm_randomGeneEmb,CREB1,Transcription,-0.4865093717289545,10.8866821022602,functional_class_holdout,lpm_randomGeneEmb,Transcription
adamson,lpm_randomGeneEmb,SOCS1,Transcription,0.8775781070248755,2.728136280696886,functional_class_holdout,lpm_randomGeneEmb,Transcription
adamson,lpm_randomGeneEmb,ZNF326,Transcription,-0.51721756350719,11.257561184962183,functional_class_holdout,lpm_randomGeneEmb,Transcription
adamson,lpm_scgptGeneEmb,BHLHE40,Transcription,0.2079076776860416,7.917408982913442,functional_class_holdout,lpm_scgptGeneEmb,Transcription
adamson,lpm_scgptGeneEmb,CHERP,Transcription,0.749305358319867,4.3916028277258405,functional_class_holdout,lpm_scgptGeneEmb,Transcription
adamson,lpm_scgptGeneEmb,CREB1,Transcription,0.2053636524124926,7.759693539169381,functional_class_holdout,lpm_scgptGeneEmb,Transcription
adamson,lpm_scgptGeneEmb,SOCS1,Transcription,0.9055895338825976,2.4050081858611096,functional_class_holdout,lpm_scgptGeneEmb,Transcription
adamson,lpm_scgptGeneEmb,ZNF326,Transcription,0.1995302199776182,8.056124060657337,functional_class_holdout,lpm_scgptGeneEmb,Transcription
adamson,lpm_scFoundationGeneEmb,BHLHE40,Transcription,-0.0892601597417901,9.67411342520256,functional_class_holdout,lpm_scFoundationGeneEmb,Transcription
adamson,lpm_scFoundationGeneEmb,CHERP,Transcription,0.7390302641492479,4.468961795726036,functional_class_holdout,lpm_scFoundationGeneEmb,Transcription
adamson,lpm_scFoundationGeneEmb,CREB1,Transcription,-0.1242783770823302,9.651690412020033,functional_class_holdout,lpm_scFoundationGeneEmb,Transcription
adamson,lpm_scFoundationGeneEmb,SOCS1,Transcription,0.8958986674077293,2.5249108960566793,functional_class_holdout,lpm_scFoundationGeneEmb,Transcription
adamson,lpm_scFoundationGeneEmb,ZNF326,Transcription,-0.1378430725089062,9.998877431254703,functional_class_holdout,lpm_scFoundationGeneEmb,Transcription
adamson,lpm_gearsPertEmb,BHLHE40,Transcription,0.5802985987725635,6.918616920004087,functional_class_holdout,lpm_gearsPertEmb,Transcription
adamson,lpm_gearsPertEmb,CHERP,Transcription,0.6794598777238332,5.012345343550478,functional_class_holdout,lpm_gearsPertEmb,Transcription
adamson,lpm_gearsPertEmb,CREB1,Transcription,0.3927094048289405,7.398867783411774,functional_class_holdout,lpm_gearsPertEmb,Transcription
adamson,lpm_gearsPertEmb,SOCS1,Transcription,0.8523773414066849,3.00177918797763,functional_class_holdout,lpm_gearsPertEmb,Transcription
