dataset,baseline,r_mean,r_ci_low,r_ci_high,l2_mean,l2_ci_low,l2_ci_high
adamson,lpm_selftrained,0.882,0.842,0.924,4.36,2.88,5.45
adamson,lpm_rpe1PertEmb,0.821,0.772,0.884,4.32,2.65,5.62
adamson,lpm_k562PertEmb,0.805,0.759,0.874,5.35,3.22,7.08
adamson,lpm_scgptGeneEmb,0.454,0.204,0.734,6.11,3.9,7.94
adamson,lpm_gearsPertEmb,0.417,-0.003,0.726,7.06,4.28,10.16
adamson,lpm_scFoundationGeneEmb,0.257,-0.123,0.66,7.26,4.34,9.8
adamson,lpm_randomGeneEmb,0.036,-0.483,0.573,8.07,4.74,11.02
adamson,mean_response,0.032,-0.491,0.571,8.08,4.75,11.04
adamson,lpm_randomPertEmb,-0.004,-0.542,0.544,8.39,4.96,11.52
k562,lpm_selftrained,0.632,0.616,0.65,4.57,4.42,4.72
k562,lpm_k562PertEmb,0.61,0.592,0.629,4.72,4.56,4.89
k562,lpm_rpe1PertEmb,0.6,0.582,0.618,3.68,3.56,3.81
k562,lpm_scgptGeneEmb,0.486,0.469,0.502,5.26,5.11,5.44
k562,lpm_scFoundationGeneEmb,0.384,0.368,0.399,5.83,5.65,6.02
k562,lpm_gearsPertEmb,0.354,0.334,0.374,6.09,5.89,6.31
k562,lpm_randomGeneEmb,0.341,0.324,0.356,6.07,5.88,6.27
k562,mean_response,0.341,0.324,0.356,6.07,5.88,6.28
k562,lpm_randomPertEmb,0.335,0.318,0.351,6.09,5.91,6.3
rpe1,lpm_selftrained,0.804,0.789,0.821,5.62,5.43,5.81
rpe1,lpm_rpe1PertEmb,0.795,0.779,0.812,5.78,5.58,5.98
rpe1,lpm_k562PertEmb,0.787,0.769,0.805,4.84,4.67,5.0
rpe1,lpm_scgptGeneEmb,0.725,0.707,0.745,6.68,6.5,6.87
rpe1,mean_response,0.694,0.674,0.717,7.98,7.76,8.21
rpe1,lpm_randomGeneEmb,0.694,0.674,0.716,7.98,7.75,8.21
rpe1,lpm_randomPertEmb,0.694,0.673,0.717,8.0,7.78,8.24
rpe1,lpm_gearsPertEmb,0.691,0.67,0.713,7.84,7.62,8.08
rpe1,lpm_scFoundationGeneEmb,0.691,0.671,0.712,7.59,7.38,7.81
