dataset,baseline,top_k,local_r,baseline_r,local_l2,baseline_l2,mean_similarity
adamson,lpm_gearsPertEmb,0.01,0.7308,0.7485,4.5969,4.3071,0.9154
adamson,lpm_gearsPertEmb,0.05,0.7725,0.7485,3.8256,4.3071,0.8578
adamson,lpm_gearsPertEmb,0.1,0.7845,0.7485,3.7153,4.3071,0.8073
adamson,lpm_k562PertEmb,0.01,0.9191,0.9334,2.4267,2.4399,0.9993
adamson,lpm_k562PertEmb,0.05,0.9317,0.9334,2.2334,2.4399,0.9987
adamson,lpm_k562PertEmb,0.1,0.933,0.9334,2.3225,2.4399,0.9976
adamson,lpm_randomGeneEmb,0.01,0.9247,0.7214,2.3613,4.3444,0.9539
adamson,lpm_randomGeneEmb,0.05,0.9323,0.7214,2.3019,4.3444,0.8996
adamson,lpm_randomGeneEmb,0.1,0.9117,0.7214,2.5305,4.3444,0.8508
adamson,lpm_randomPertEmb,0.01,0.5892,0.7075,5.8694,4.5362,0.6558
adamson,lpm_randomPertEmb,0.05,0.5974,0.7075,5.6943,4.5362,0.5523
adamson,lpm_randomPertEmb,0.1,0.5161,0.7075,6.5551,4.5362,0.4847
adamson,lpm_rpe1PertEmb,0.01,0.9187,0.9303,2.4375,2.5187,0.9997
adamson,lpm_rpe1PertEmb,0.05,0.932,0.9303,2.2629,2.5187,0.9992
adamson,lpm_rpe1PertEmb,0.1,0.9308,0.9303,2.357,2.5187,0.9984
adamson,lpm_scFoundationGeneEmb,0.01,0.9247,0.7767,2.3613,3.9785,0.9539
adamson,lpm_scFoundationGeneEmb,0.05,0.933,0.7767,2.2588,3.9785,0.8996
adamson,lpm_scFoundationGeneEmb,0.1,0.9157,0.7767,2.4505,3.9785,0.8508
adamson,lpm_scgptGeneEmb,0.01,0.9247,0.8107,2.3613,3.7328,0.9539
adamson,lpm_scgptGeneEmb,0.05,0.9348,0.8107,2.2081,3.7328,0.8996
adamson,lpm_scgptGeneEmb,0.1,0.9234,0.8107,2.347,3.7328,0.8508
adamson,lpm_selftrained,0.01,0.9247,0.9465,2.3613,2.2649,0.9539
adamson,lpm_selftrained,0.05,0.9406,0.9465,2.094,2.2649,0.8996
adamson,lpm_selftrained,0.1,0.9432,0.9465,2.1308,2.2649,0.8508
k562,lpm_gearsPertEmb,0.01,0.7308,0.7485,4.5969,4.3071,0.9154
k562,lpm_gearsPertEmb,0.05,0.7725,0.7485,3.8256,4.3071,0.8578
k562,lpm_gearsPertEmb,0.1,0.7845,0.7485,3.7153,4.3071,0.8073
k562,lpm_k562PertEmb,0.01,0.9191,0.9334,2.4267,2.4399,0.9993
k562,lpm_k562PertEmb,0.05,0.9317,0.9334,2.2334,2.4399,0.9987
k562,lpm_k562PertEmb,0.1,0.933,0.9334,2.3225,2.4399,0.9976
k562,lpm_randomGeneEmb,0.01,0.9247,0.7214,2.3613,4.3444,0.9539
k562,lpm_randomGeneEmb,0.05,0.9323,0.7214,2.3019,4.3444,0.8996
